"","users[, 1]","Book.Title","Book.Author","Publisher","ratings[, 3]"
"2642",2642,"Reading Lolita in Tehran: A Memoir in Books","Azar Nafisi","Random House Trade Paperbacks",0
"2643",2643,"Blue Latitudes : Boldly Going Where Captain Cook Has Gone Before","Tony Horwitz","Picador",0
"2644",2644,"Peace Like a River","Leif Enger","Grove Press",0
"2645",2645,"Embraced by the Light","Betty J. Eadie","Bantam Books",0
"2646",2646,"Cry Wolf","TAMI HOAG","Bantam",0
"2647",2647,"The Power of Two (T*Witches, No 1)","H. B. Gilmour","Apple",0
"2648",2648,"Magic Kingdom for Sale - Sold! (Magic Kingdom of Landover)","Terry Brooks","Del Rey Books",0
"2649",2649,"The Black Unicorn (Magic Kingdom of Landover Novel)","Terry Brooks","Del Rey Books",0
"2650",2650,"Wizard at Large (Rookies Series)","Terry Brooks","Del Rey Books",7
"2651",2651,"Sweet Enemy","Diana Palmer","Silhouette",0
"2652",2652,"The Time Machine","H. G. Wells","Tor Books",0
"2653",2653,"The Invisible Man (Dover Thrift Editions)","H. G. Wells","Dover Publications",0
"2654",2654,"Journey to the Center of the Earth","Jules Verne","Penguin Books",0
"2655",2655,"Bradymania!: Everything You Always Wanted to Know - And a Few Things You Probably Didnt (25th Anniversary Edition)","Elizabeth Moran","Adams Media Corporation",0
"2656",2656,"The Message (Animorphs , No 4)","K. A. Applegate","Scholastic",0
"2657",2657,"The Invasion (Animorphs, No 1)","K. A. Applegate","Scholastic",0
"2658",2658,"The Yearbook","Peter Lerangis","Scholastic",7
"2659",2659,"SCREAM OF THE CAT (PHANTOM VALLEY ) : SCREAM OF THE CAT","Lynn Beach","Aladdin",0
"2660",2660,"EVIL ONE (PHANTOM VALLEY 1) : EVIL ONE (Phantom Valley)","Lynn Beach","Aladdin",0
"2661",2661,"How to Talk So Kids Will Listen and Listen So Kids Will Talk","Adele Faber","Back Bay Books",0
"2662",2662,"Farrah : An Unauthorized Biography of Farrah Fawcett-Majors","Patricia Burstein","Signet Books",0
"2663",2663,"Graveyard of the Atlantic: Shipwrecks of the North Carolina Coast","David Stick","University of North Carolina Press",0
"2664",2664,"Han Solo at Stars' End","Daley","Not Avail",0
"2665",2665,"Splinter of the Mind's Eye","Alan Dean Foster","Ballantine Books",0
"2666",2666,"Empire Strikes Back Wars","Donald F Glut","Ballantine Books",0
"2667",2667,"Close Friends","Peter Jenkins","Harpercollins",0
"2668",2668,"50 Simple Things You Can Do to Save the Earth","Earthworks Group","Pub Group West",0
"2669",2669,"A Hiker's Companion: 12,000 Miles of Trail-Tested Wisdom","Cindy Ross","Mountaineers Books",0
"2670",2670,"Hiking a Celebration of the Sport and the World's Best Places to Enjoy It (Fodor's sports)","Cindy Ross","Random House Inc",0
"2671",2671,"Hungry Hikers Book of Good Cooking","Gretchen McHugh","Alfred A. Knopf",0
"2672",2672,"The Cat Who... Companion","Sharon A. Feaster","Berkley Publishing Group",0
"2673",2673,"FOREVER : A Novel of Good and Evil, Love and Hope","Judy Blume","Pocket",0
"2674",2674,"The Cat Who Went Up the Creek","Lilian Jackson Braun","Jove Books",0
"2675",2675,"The Cat Who Sang for the Birds (Cat Who... (Paperback))","Lilian Jackson Braun","Jove Books",0
"2676",2676,"HIGH TIDE FEAR STREET SUPERCHILLER 12","R.L. Stine","Simon Pulse",8
"2677",2677,"First Evil (Fear Street Cheerleaders 1) : First Evil","R.L. Stine","Simon Pulse",0
"2678",2678,"BODY SWITCHERS FROM OUTER SPACE: R L STINE'S GHOSTS OF FEAR STREET #14 (GHOSTS OF FEAR STREET)","R.L. Stine","Aladdin",0
"2679",2679,"The Elf Queen of Shannara (Heritage of Shannara, Book 3)","Terry Brooks","Del Rey Books",0
"2680",2680,"JUDY GARLAND","Anne E. Edwards","Pocket",0
"2681",2681,"STAR TREK YESTERDAY'S SON (Star Trek: The Original Series)","A.C. Crispin","Audioworks",0
"2682",2682,"Perfect Girls (Replica No. 4)","Marilyn Kaye","Skylark Books",6
"2683",2683,"The Andalite Chronicles (Elfangor's Journey, Alloran's Choice, An Alien Dies) - Animorphs","Katherine Applegate","Apple",0
"2684",2684,"The Visitor (Animorphs, No 2)","K. A. Applegate","Scholastic",0
"2685",2685,"The Encounter (Animorphs , No 3)","K. A. Applegate","Scholastic",0
"2686",2686,"Shipwreck (Island, Book 1)","Gordon Korman","Hyperion Books for Children",0
"2687",2687,"Karen's School Trip (Baby-Sitters Little Sister, 24)","Ann M. Martin","Scholastic Paperbacks (Mm)",0
"2688",2688,"Karen's Doll (Baby-Sitters Little Sister, 23)","Ann M. Martin","Scholastic",0
"2689",2689,"Karen's Pen Pal (Baby-Sitters Little Sister, 25)","Ann M. Martin","Scholastic",0
"2690",2690,"The Christie Caper","Carolyn G. Hart","Bantam",0
"2691",2691,"Southern Ghost","Carolyn G. Hart","Bantam Books",0
"2692",2692,"Montana Sky","Nora Roberts","Jove Books",0
"2693",2693,"A Thousand Country Roads: An Epilogue to The Bridges of Madison County","Robert James Waller","John M. Hardy",0
"2694",2694,"Macromedia Dreamweaver 4: Training from the Source","Khristine Page","Macromedia Press",0
"2695",2695,"All About Passion (Cynster Novels)","Stephanie Laurens","Avon",7
"2696",2696,"Fifth Daughter","Elaine Coffman","Mira",8
"2697",2697,"To Kiss a Spy (Get Connected Romances)","JANE FEATHER","Bantam",0
"2698",2698,"Lady of Desire","Gaelen Foley","Ivy Books",9
"2699",2699,"The Rogue","Claire Delacroix","Warner Books",8
"2700",2700,"The Italian","Elaine Coffman","Mira",0
"2701",2701,"Scrooge Wore Spurs","Janet Dailey","Kensington Publishing Corporation",8
"2702",2702,"See Jane Score (Avon Romance)","Rachel Gibson","Avon",10
"2703",2703,"The Ring on Her Finger (Avon Romance)","Elizabeth Bevarly","Avon",0
"2704",2704,"Reckless Encounter","Rosemary Rogers","Mira",0
"2705",2705,"Finding You/Knowing You : Two Brand-New Novels For One Wonderful Price! (Candellano Family Trilogy)","Maureen Child","St. Martin's Paperbacks",8
"2706",2706,"Impostress (Signet Historical Romance)","Lisa Jackson","Signet Book",10
"2707",2707,"Savage Destiny (Savage)","Cassie Edwards","Leisure Books",10
"2708",2708,"Bride Of Black Douglas (Mira)","Elaine Coffman","Mira",7
"2709",2709,"Texas Bride (Leisure Historical Romance)","Leigh Greenwood","Leisure Books",8
"2710",2710,"The Iron Rose","Marsha Canham","Signet Book",0
"2711",2711,"Love With the Proper Husband (Avon Historical Romance)","Victoria Alexander","Avon",0
"2712",2712,"On a Wicked Dawn (Cynster Novels)","Stephanie Laurens","Avon Books",5
"2713",2713,"The Italian's Trophy Mistress  (Mistress To A Millionaire)","Diana Hamilton","Harlequin",4
"2714",2714,"Seduced by a Rogue","Connie Mason","Leisure Books",0
"2715",2715,"Naughty Marietta","Nan Ryan","Mira Books",0
"2716",2716,"The Love Knot","Rebecca Brandewyne","Mira",0
"2717",2717,"Racing Moon","Cassie Edwards","Signet Book",0
"2718",2718,"Breathing Room (Avon Romance)","Susan Elizabeth Phillips","Avon Books",4
"2719",2719,"Deadly Caress (A Francesca Cahill Romance)","Brenda Joyce","St. Martin's Paperbacks",0
"2720",2720,"Seduced","Pamela Britton","Warner Forever",3
"2721",2721,"The Very Virile Viking","Sandra Hill","Leisure Books",5
"2722",2722,"Untie My Heart","Judith Ivory","Avon",9
"2723",2723,"Midnight Confessions","CANDICE PROCTOR","Ivy Books",9
"2724",2724,"Stealing Heaven","Madeline Hunter","Bantam Books",0
"2725",2725,"The Ways of Grace","Linda Francis Lee","Ivy Books",0
"2726",2726,"Reckless Embrace (Leisure Historical Romance)","Madeline Baker","Leisure Books",0
"2727",2727,"Kingdom Of Moonlight","Josie Litton","Bantam Books",0
"2728",2728,"Married By Midnight (Harlequin Historical, No. 622)","Judith Stacy","Harlequin",6
"2729",2729,"Breaking All the Rules (Avon Light Contemporary Romances)","Sue Civil-Brown","Avon",3
"2730",2730,"River Road (Ross, Joann. Callahan Brothers Trilogy, 2.)","JoAnn Ross","Pocket",5
"2731",2731,"A Season Of Miracles","Heather Graham","Mira",0
"2732",2732,"Her Highness, My Wife","Victoria Alexander","Avon",0
"2733",2733,"Must Be Magic","Patricia Rice","Signet Book",0
"2734",2734,"The Temptress (The Bride Quest)","Claire Delacroix","Dell Publishing Company",0
"2735",2735,"Heart of a Warrior","Johanna Lindsey","Avon",0
"2736",2736,"Savage Moon","Cassie Edwards","Leisure Books",7
"2737",2737,"Texas Homecoming (Night Riders)","Leigh Greenwood","Leisure Books",0
"2738",2738,"The Mating Game (Zebra Contemporary Romance)","Melanie George","Kensington Publishing Corporation",0
"2739",2739,"Tempt Me Twice (A Kenyon Family Novel)","Barbara Dawson Smith","St. Martin's Paperbacks",0
"2740",2740,"Romancing Riley","Connie Lane","Dell Publishing Company",8
"2741",2741,"Lady Sophia's Lover","Lisa Kleypas","Avon",0
"2742",2742,"Silent Honor","Danielle Steel","Dell",7
"2743",2743,"The Snow Leopard (Penguin Nature Classics)","Peter Matthiessen","Penguin Books",5
"2744",2744,"Move Your Stuff, Change Your Life : How to Use Feng Shui to Get Love, Money, Respect and Happiness","Karen Rauch Carter","Fireside",0
"2745",2745,"Every Day's a Party : Louisiana Recipes For Celebrating With Family And Friends","Emeril Lagasse","Morrow Cookbooks",0
"2746",2746,"Do Less, Achieve More: Discover the Hidden Power of Giving in","Chin-Ning Chu","ReganBooks",4
"2747",2747,"Success Through a Positive Mental Attitude","W. Stone","Pocket",0
"2748",2748,"Intellectual Capital: The New Wealth of Organizations","THOMAS A. STEWART","Currency",0
"2749",2749,"The Book of Questions","Pablo Neruda","Consortium Book Sales &amp; Dist",0
"2750",2750,"Italian Light Cooking","Marie Simmons","Perigee Books",7
"2751",2751,"Soulwork: Clearing the Mind, Opening the Heart, and Replenishing the Spirit","Bettyclare Moffatt","Wildcat Canyon Press",7
"2752",2752,"Nothing in This Book Is True, but It's Exactly How Things Are: The Esoteric Meaning of the Monuments on Mars","Bob Frissell","Frog Ltd.",7
"2753",2753,"Other People's Skeletons (Rebecca Schwartz Mysteries)","Julie Smith","Ivy Books",0
"2754",2754,"Death and the Joyful Woman","Ellis Peters","Warner Books",6
"2755",2755,"No Wind of Blame","Georgette Heyer","Berkley Pub Group",6
"2756",2756,"Iris and Her Friends: A Memoir of Memory and Desire","John Bayley","W.W. Norton &amp; Company",0
"2757",2757,"The Cat Who Sang for the Birds","Lilian Jackson Braun","Putnam Pub Group",9
"2758",2758,"Preserving Family Lands, Book I","Stephen J. Small","Landowner Planning Center",9
"2759",2759,"Martin the Warrior (Redwall, Book 6)","Brian Jacques","Ace Books",10
"2760",2760,"Salamandastron (Redwall, Book 5)","Brian Jacques","Ace Books",6
"2761",2761,"The Cat Who Blew the Whistle","Lilian Jackson Braun","Jove Books",8
"2762",2762,"The Lives of Dax (Star Trek: Deep Space Nine)","Marco Palmieri","Star Trek",9
"2763",2763,"The Pianist: The Extraordinary True Story of One Man's Survival in Warsaw, 1939-1945","Wladyslaw Szpilman","Picador",0
"2764",2764,"Dreams of the Raven (Star Trek, No 34)","Carmen Carter","Star Trek",0
"2765",2765,"Diary of a Mad Bride (Summer Display Opportunity)","Laura Wolf","Delta",0
"2766",2766,"Cry, the Beloved Country (Oprah's Book Club)","Alan Paton","Scribner",4
"2767",2767,"Carolina Moon","Nora Roberts","Jove Books",5
"2768",2768,"Standing in the Rainbow","FANNIE FLAGG","Ballantine Books",0
"2769",2769,"East of Eden (Oprah's Book Club)","John Steinbeck","Penguin Books",9
"2770",2770,"Three Fates","Nora Roberts","Jove Books",5
"2771",2771,"The Courtship Dance of the Borderline","Anthony, Md. Walker","Writer's Showcase Press",6
"2772",2772,"The Seeing Stone (The Spiderwick Chronicles, Book 2)","Tony DiTerlizzi","Simon &amp; Schuster Children's Publishing",10
"2773",2773,"Down on Ponce: A Novel","Fred Willard","Longstreet Press",5
"2774",2774,"El Tiempo y la Promesa","Concha Lopez Narvaez","Lectorum Publications",0
"2775",2775,"The Deptford Trilogy (King Penguin S.)","Robertson Davies","Penguin Books Ltd",5
"2776",2776,"Tartuffe, by Moliere","Richard Wilbur","Harvest Books",8
"2777",2777,"Scorpio Illusion Uk","Robert Ludlum","Harpercollins Uk",6
"2778",2778,"Richtig leben mit Geri Weibel. Neue Folge.","Martin Suter","Diogenes Verlag",0
"2779",2779,"Richtig leben mit Geri Weibel.","Martin Suter","Diogenes Verlag",0
"2780",2780,"Pay It Forward","Catherine Ryan Hyde","Pocket",7
"2781",2781,"Die geheime Geschichte.","Donna Tartt","Goldmann",5
"2782",2782,"The X-Files: Ground Zero","Kevin J. Anderson","HarperEntertainment",0
"2783",2783,"Here on Earth (Oprah's Book Club)","Alice Hoffman","Berkley Publishing Group",8
"2784",2784,"Bastard Out of Carolina","Dorothy Allison","Plume Books",0
"2785",2785,"Face the Fire (Three Sisters Island Trilogy)","Nora Roberts","Jove Books",0
"2786",2786,"The Hobbit: or There and Back Again","J.R.R. Tolkien","Houghton Mifflin Company",0
"2787",2787,"Distraction: A Novel","Bruce Sterling","Spectra Books",0
"2788",2788,"Alien Taste (Roc Science Fiction)","Wen Spencer","Roc",6
"2789",2789,"Islands in the Net","Bruce Sterling","Ace Books",0
"2790",2790,"Dogbert's Top Secret Management Handbook","Scott Adams","HarperCollins Publishers",0
"2791",2791,"Hollywood Speaks: Deafness and the Film Entertainment Industry","John S. Schuchman","University of Illinois Press",5
"2792",2792,"Druids","MORGAN LLYWELYN","Del Rey",10
"2793",2793,"The Deed of Paksenarrion","Elizabeth Moon","Baen",7
"2794",2794,"Count Zero (Ace Science Fiction)","William Gibson","Ace Books",0
"2795",2795,"A Good Old-Fashioned Future: Stories","Bruce Sterling","Spectra Books",10
"2796",2796,"Deaf Culture Our Way","Holcomb","Dawnsign Press",0
"2797",2797,"A Loss for Words : The Story of Deafness in a Family","Lou Ann Walker","Perennial",5
"2798",2798,"Schismatrix Plus: Includes Schismatrix and Selected Stories from Crystal Express","Bruce Sterling","Ace Books",0
"2799",2799,"When True Night Falls (Coldfire Trilogy, Book 2)","C.S. Friedman","Daw Books",0
"2800",2800,"The Difference Engine","WILLIAM GIBSON","Spectra",0
"2801",2801,"Holy Fire: A Novel (Bantam Spectra Book)","Bruce Sterling","Bantam Books",0
"2802",2802,"The Fifth Sacred Thing","Starhawk","Bantam",0
"2803",2803,"Stupid White Men ...and Other Sorry Excuses for the State of the Nation!","Michael Moore","Regan Books",10
"2804",2804,"The Elric Saga PT. II","Michael Moorcock","Doubleday Books",0
"2805",2805,"No One Noticed the Cat","Anne McCaffrey","Roc",0
"2806",2806,"Great Deaf Americans: The Second Edition","Matthew S. Moore","Deaf Life Press",0
"2807",2807,"The Feel of Silence (Health, Society, and Policy)","Bonnie Poitras Tucker","Temple University Press",6
"2808",2808,"Our Latin Heritage (Our Latin Heritage)","Lillian M. Hines","Holt Rinehart and Winston",8
"2809",2809,"The Termination Node","Lois H. Gresh","Ballantine Books",9
"2810",2810,"Harry Potter and the Sorcerer's Stone (Book 1)","J. K. Rowling","Scholastic",10
"2811",2811,"Silverlight: The Arcana, Book II (Arcana/Morgan Llywelyn, Bk 2)","Morgan Llywelyn","Baen",0
"2812",2812,"War Against War","Ernst Friedrich","Real Comet Press",5
"2813",2813,"In the Beginning...was the Command Line","Neal Stephenson","Perennial",7
"2814",2814,"Guide to Korean Characters: Reading and Writing Hangul and Hanja","Bruce K. Grant","Weatherhill Inc.",10
"2815",2815,"American Deaf Culture: An Anthology","Sherman Wilcox","Linstok Press, Incorporated",0
"2816",2816,"Digital Fortress : A Thriller","Dan Brown","St. Martin's Griffin",8
"2817",2817,"Dude, Where's My Country?","Michael Moore","Warner Books",8
"2818",2818,"Fairy-Faith in Celtic Countries (Library of the Mystic Arts)","W. Y. Evans-Wentz","Citadel Press",7
"2819",2819,"Witch","Fiona Horne","Thorsons Publishers",10
"2820",2820,"SILVERHAND: ARCANA BOOK I (Llywelyn, Morgan. Arcana, Bk. 1.)","Morgan Llywelyn","Baen",10
"2821",2821,"Summon the Keeper","Tanya Huff","Daw Books",7
"2822",2822,"The 21 Lessons of Merlyn: A Study in Druid Magic and Lore","Douglas Monroe","Llewellyn Publications",8
"2823",2823,"Seekers of the Healing Energy: Reich, Cayce, the Kahunas, and Other Masters of the Vital Force","Mary Coddington","Healing Art Press",8
"2824",2824,"Spiritual Cleansing: A Handbook of Psychic Protection","Draja Mickaharic","Weiser Books",8
"2825",2825,"From The Two Rivers : The Eye of the World, Book 1 (Wheel of Time (Starscape))","Robert Jordan","Starscape",8
"2826",2826,"The Queen's Necklace","Teresa Edgerton","Eos",10
"2827",2827,"L'Education Sentimenntale (World Classics)","Gustave Flaubert","Bookking International",0
"2828",2828,"We Wish to Inform You That Tomorrow We Will be Killed With Our Families: Stories from Rwanda","Philip Gourevitch","Picador USA",9
"2829",2829,"La Virevolte","Nancy Huston","Actes Sud",8
"2830",2830,"Meurtres en soutane","P.D. James","Le Livre de Poche",7
"2831",2831,"Bee Season: A Novel","Myla Goldberg","Anchor Books/Doubleday",8
"2832",2832,"Cherry: A Memoir","Mary Karr","Penguin Books",3
"2833",2833,"The Simple Art of Murder (Vintage Crime)","RAYMOND CHANDLER","Vintage",8
"2834",2834,"Domain","Steve Alten","Tor Books",7
"2835",2835,"Myth-Nomers and Im-Pervections","Robert Asprin","Donning Company Publishers",8
"2836",2836,"Dave Barry Slept Here: A Sort of History of the United States","Dave Barry","Ballantine Books",5
"2837",2837,"In Praise of Cats","Smithmark Publishing","Smithmark Pub",0
"2838",2838,"Brown Girl in the Ring","Nalo Hopkinson","Warner Books",5
"2839",2839,"Sons from Afar","Cynthia Voigt","Fawcett Books",5
"2840",2840,"Izzy, Willy-Nilly","Cynthia Voigt","Fawcett Books",7
"2841",2841,"Building Blocks","Cynthia Voigt","Fawcett Books",8
"2842",2842,"Tree by Leaf","Cynthia Voigt","Fawcett Books",10
"2843",2843,"Building Blocks (Point)","Cynthia Voigt","Scholastic",0
"2844",2844,"Jackaroo","Cynthia Voigt","Fawcett Books",5
"2845",2845,"A Solitary Blue (Point)","Cynthia Voigt","Scholastic",0
"2846",2846,"Homecoming","Cynthia Voigt","Fawcett Books",7
"2847",2847,"Mister Sandman (Harvest Book)","Barbara Gowdy","Harvest Books",9
"2848",2848,"Hateship, Friendship, Courtship, Loveship, Marriage : Stories","Alice Munro","Vintage",10
"2849",2849,"Too Close to the Falls: A Memoir","Catherine Gildiner","Independent Pub Group",8
"2850",2850,"The Nanny Diaries: A Novel","Emma McLaughlin","St. Martin's Griffin",0
"2851",2851,"The Picture of Dorian Gray (Penguin Classic)","Oscar Wilde","Penguin Books",6
"2852",2852,"Phantoms","Dean R. Koontz","Berkley Publishing Group",0
"2853",2853,"No Name (World's Classics)","William Wilkie Collins","Oxford University Press",0
"2854",2854,"The Bearded Lady","Sharlee Dieguez","Guernica Editions",8
"2855",2855,"Cold Comfort Farm","Stella Gibbons","Penguin Books",0
"2856",2856,"Revelation and the Fall of Judea","Maurice A. Williams","Xlibris Corporation",9
"2857",2857,"L'Ami retrouv√?¬©","Fred Uhlman","Gallimard",6
"2858",2858,"Lame (Collection Sextant)","Esther Rochon","Editions Qu√©bec/Am√©rique",7
"2859",2859,"The Dante Club : A Novel","Matthew Pearl","Random House",8
"2860",2860,"Der Wahnsinn der Normalit√?¬§t.","Arno Gruen","Dtv",0
"2861",2861,"Jacob the Baker: Gentle Wisdom For a Complicated World","Noah benShea","Ballantine Books",7
"2862",2862,"Jitterbug Perfume","TOM ROBBINS","Bantam",7
"2863",2863,"Adventures at Sea in the Great Age of Sail: Five Firsthand Narratives","Elliot Snow","Dover Publications",8
"2864",2864,"POSSESSIONS","Judith Michael","Pocket",9
"2865",2865,"ANGELA'S ASHES","Frank McCourt","Scribner",8
"2866",2866,"Who Left That Body in the Rain? (Thoroughly Southern Mysteries)","Patricia Sprinkle","Signet Book",7
"2867",2867,"Violets Are Blue","James Patterson","Warner Vision",0
"2868",2868,"The Dogs of Babel (Today Show Book Club #12)","Carolyn Parkhurst","Little, Brown",0
"2869",2869,"Tar Baby","Toni Morrison","Plume Books",7
"2870",2870,"Gone Bamboo","Anthony Bourdain","Random House Inc",0
"2871",2871,"The Etruscan Chimera (Archaeological Mystery)","Lyn Hamilton","Berkley Publishing Group",7
"2872",2872,"The Tao of Bada Bing: Words of Wisdom from the Sopranos","David Chase","Carhil Ventures, LLC",0
"2873",2873,"Gestalt Therapy","Frederick S. Perls","Bantam Books",8
"2874",2874,"Women Prefer Women","Elula Perrin","Bantam Books",0
"2875",2875,"The Witch's Daughter","R.A. Salvatore","New Amer Library",0
"2876",2876,"Tomoe Gozen","Jessica Amanda Salmonson","Ace Books",7
"2877",2877,"Amazons II","Jessica Salmonson","DAW Books",8
"2878",2878,"Ancient Blood:  Day of Honor #1 (Star Trek The Next Generation)","Diane Carey","Star Trek",8
"2879",2879,"God Herself: Feminine Roots of Astrology","Geraldine Thorsten","Harper Mass Market Paperbacks (Mm)",0
"2880",2880,"Preventive Organic Medicine (Pivot Health Book)","Jurt W. Donsbach","McGraw-Hill",0
"2881",2881,"Contagion","Robin Cook","Berkley Publishing Group",8
"2882",2882,"Sudden Death","Rita Mae Brown","Bantam Doubleday Dell",0
"2883",2883,"Der Vorleser","Bernhard Schlink","Diogenes Verlag AG",0
"2884",2884,"Lord Valentine's castle","Robert Silverberg","Bantam Books",0
"2885",2885,"The King of Torts","JOHN GRISHAM","Dell",8
"2886",2886,"The Tale of the Body Thief (Vampire Chronicles (Paperback))","Anne Rice","Ballantine Books",5
"2887",2887,"Treaty's Law (Star Trek: Day of Honor, Book 4)","Kristine Kathryn Rusch","Star Trek",8
"2888",2888,"Her Klingon Soul (Star Trek Voyager: Day of Honor, Book 3)","Michael Jan Friedman","Star Trek",8
"2889",2889,"Armageddon Sky (Star Trek Deep Space Nine: Day of Honor, Book 2)","L. A. Graf","Star Trek",0
"2890",2890,"Startide Rising (The Uplift Saga, Book 2)","David Brin","Spectra Books",7
"2891",2891,"Dave Barry's Greatest Hits","Dave Barry","Ballantine Books",7
"2892",2892,"The Total Zone (Jordan Myles Mysteries)","Martina Navratilova","Fawcett Books",6
"2893",2893,"GOLDENGIRL","Peter Lear","Ballantine Books",8
"2894",2894,"DANGEROUS GAMES","Marta Randall","Pocket",5
"2895",2895,"I, alien : a novel","Michael Reaves","Grosset &amp; Dunlap",9
"2896",2896,"Moonscatter","Jo Clayton","New American Library",0
"2897",2897,"First Cycle","H. Beam Piper","Ace Books",0
"2898",2898,"STARCHILD TRILOGY","Frederik Pohl","Pocket",0
"2899",2899,"Illegal Aliens (Tsr Books)","Nick Pollotta","Wizards of the Coast",0
"2900",2900,"Cat House","Michael Peak","Roc",0
"2901",2901,"The unicorn and other poems, 1935-1955","Anne Morrow Lindbergh","Vintage Books",0
"2902",2902,"Warm Worlds and Otherwise","James Tiptree Jr.","Del Rey Books",0
"2903",2903,"The Magick of the Tarot (The Llewellyn Practical Guides)","Denning &amp; Phillips","Llewellyn Pubns",10
"2904",2904,"Psychic Tarot: Illustrated with the Aquarian Tarot Deck","Craig Junjulas","Morgan &amp; Morgan, Inc.",0
"2905",2905,"Tarot therapy: A guide to the subconscious","Jan Woudhuysen","distributed by Houghton Mifflin",0
"2906",2906,"City of Golden Shadow (Otherland, Volume 1)","Tad Williams","Daw Books",8
"2907",2907,"Night Chills","Dean R. Koontz","Berkley Publishing Group",8
"2908",2908,"Pacific Blues","Stephen Smoke","Harper Mass Market Paperbacks (Mm)",9
"2909",2909,"Phantoms","Dean R. Koontz","Berkley Publishing Group",10
"2910",2910,"Tattoo","Dale Banks","Pinnacle Books",0
"2911",2911,"Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback))","Patricia D. Cornwell","Avon",9
"2912",2912,"Misery","Stephen King","New Amer Library",8
"2913",2913,"The Eyre Affair: A Novel","Jasper Fforde","Penguin Books",10
"2914",2914,"Lord of Light","Roger Zelazny","Eos",0
"2915",2915,"Faerie Tale","Raymond E. Feist","Bantam",0
"2916",2916,"Lying Awake","Mark Salzman","Vintage Books USA",10
"2917",2917,"Mariette in Ecstasy","Ron Hansen","Perennial",0
"2918",2918,"The Iron Lance (The Celtic Crusades, Book 1)","Stephen R. Lawhead","HarperCollins",10
"2919",2919,"The Body Farm","Patricia Daniels Cornwell","Berkley Publishing Group",0
"2920",2920,"Mortal Fear","Greg Iles","Signet Book",0
"2921",2921,"Curfew","Phil Rickman","Berkley Publishing Group",0
"2922",2922,"The Gold Coast","Nelson DeMille","Warner Books",0
"2923",2923,"Highland Legacy: Four Generations of Love Are Rooted in Scotland","Tracey V. Bateman","Barbour Publishing",0
"2924",2924,"Deep in the Heart: A Novel (Morris, Gilbert. Lone Star Series.)","Gilbert Morris","Integrity Publishers",0
"2925",2925,"Emma's Gift: A Novel","Leisha Kelly","Revell",8
"2926",2926,"People of the Owl (First North Americans)","Kathleen O'Neal Gear","Forge Books",0
"2927",2927,"Wind Walker","Cassie Edwards","Signet Book",0
"2928",2928,"Kansas Brides","Denise Hunter","Barbour Publishing",0
"2929",2929,"The Tea Rose","Jennifer Donnelly","St. Martin's Press",5
"2930",2930,"A Burning Obsession (Blaze)","Susan Kearney","Harlequin",5
"2931",2931,"Wanted Woman : Cascades Concealed (Intrigue)","B.J. Daniels","Harlequin",5
"2932",2932,"To the Limit (Intimate Moments)","Virginia Kelly","Silhouette",5
"2933",2933,"One Eye Open (Intimate Moments)","Karen Whiddon","Silhouette",8
"2934",2934,"A Pirate's Love","Johanna Lindsey","Avon",0
"2935",2935,"Secrets, Vol. 1","Alice Gaines","Red Sage Publishing,Inc",0
"2936",2936,"A Cry In the Dark : Family Secrets: The Next Generation (Intimate Moments)","Jenna Mills","Silhouette",10
"2937",2937,"Embrace the Twilight","Maggie Shayne","Mira Books",10
"2938",2938,"Edge of Twilight","Maggie Shayne","Mira Books",5
"2939",2939,"By the Light of the Moon","DEAN KOONTZ","Bantam",6
"2940",2940,"Watchers","Dean R. Koontz","Berkley Publishing Group",10
"2941",2941,"Strangers","Dean R. Koontz","Penguin Putnam~mass",7
"2942",2942,"Intensity","DEAN KOONTZ","Ballantine Books",0
"2943",2943,"Dark Rivers of the Heart","Dean R. Koontz","Ballantine Books",5
"2944",2944,"CRY THE BELOVED COUNTRY (Scribner Classic)","Alan Paton","Scribner",5
"2945",2945,"GOOD EARTH","Gordon Buck","Pocket",0
"2946",2946,"The Old Man and the Sea (A Scribner Classic)","Ernest Hemingway","Collier Books",6
"2947",2947,"Mr. Murder","Dean R. Koontz","Berkley Publishing Group",6
"2948",2948,"The Chronicles of Riddick","ALAN DEAN FOSTER","Del Rey",0
"2949",2949,"The Hours: A Novel","Michael Cunningham","Picador",7
"2950",2950,"Van Helsing","Kevin Ryan","Pocket Star",7
"2951",2951,"My Lady Pirate","Elizabeth Doyle","Zebra Books",0
"2952",2952,"Windsong (Serenade/Serenata No. 14)","Linda Herring","Zondervan",0
"2953",2953,"The Jacaranda Tree","Rebecca Brandewyne","Warner Books",8
"2954",2954,"Magic And Mist (Historical)","Fern Michaels","Harlequin",7
"2955",2955,"Viking's Woman","Heather Graham","Dell Publishing Company",0
"2956",2956,"For All Eternity","Linda Lael Miller","Berkley Publishing Group",7
"2957",2957,"Precious Passion (Zebra Splendor Historical Romances)","Elizabeth Doyle","Zebra Books",7
"2958",2958,"A Day Late and a Dollar Short","Terry McMillan","Signet Book",0
"2959",2959,"Sense and Sensibility (Dover Thrift Editions)","Jane Austen","Dover Publications",7
"2960",2960,"Dracula","Bram Stoker","Dorset Press",0
"2961",2961,"The Professor and the Madman","Simon Winchester","HarperCollins Publishers",8
"2962",2962,"Rainbow Six","Tom Clancy","Putnam Publishing Group",0
